,ticker,class_code,figi,uid,type,min_price_increment,scale,lot,trading_status,api_trade_available_flag,currency,exchange,buy_available_flag,sell_available_flag,short_enabled_flag,klong,kshort
914,ATRO,SPBXM,BBG000BCLBY5,7ffe5a84-1b38-4b95-a5eb-00e987f0f177,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
915,TRMK,TQBR,BBG004TC84Z8,278d9ccc-4dde-484e-bf79-49ce8f733470,shares,0.02000000,2,10,SECURITY_TRADING_STATUS_NORMAL_TRADING,True,rub,MOEX_DEALER_WEEKEND,True,True,True,2.00000000,2.00000000
916,ABT,SPBXM,BBG000B9ZXB4,906c71ab-ca3e-444f-9aba-e6b46cd2ea9c,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
917,CACC,SPBXM,BBG000CS0D96,f355763e-30a8-43d8-ab93-f44f1038cd60,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
918,SOFL,TQBR,TCS00A0ZZBC2,ab1f751e-15b2-4c74-802c-1b3e8638c394,shares,0.02000000,2,10,SECURITY_TRADING_STATUS_NORMAL_TRADING,True,rub,MOEX_DEALER_WEEKEND,True,True,True,2.00000000,2.00000000
919,6881,SPBHKEX,BBG004JC5VD6,4158cc55-c051-4bb3-bf54-aacc2d3c1cf5,shares,0.01000000,2,100,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,hkd,unknown,False,False,False,0E-8,0E-8
920,ZUO,SPBXM,BBG000BT3HG5,9c3f483a-10a3-44b6-9706-f34aaa00164a,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
921,CUZ,SPBXM,BBG000CW9BM7,3501239f-7d60-44a8-bc88-c4c9b1285f35,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
922,ANIP,SPBXM,BBG000KK1L04,83baaf4b-823c-4c6c-a598-87c96cd76e03,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
923,SWKS,SPBXM,BBG000KLB4Q1,f472b7eb-53fb-4f23-af47-a11c67704dd4,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
924,1801,SPBHKEX,BBG00M8832B5,68eef4b1-831c-4522-a8e6-f9e156ce4181,shares,0.05000000,2,10,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,hkd,unknown,False,False,False,0E-8,0E-8
925,PLAY,SPBXM,BBG001WWJTK5,29e0cefd-c2c9-4474-8cbc-19458659ec87,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
926,WOR,SPBXM,BBG000HL7499,5c977f1a-01fd-436f-a42a-775d5645bf44,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
927,CHPT,SPBXM,BBG00Q741Z16,2ef8e5d5-e10c-456c-a3d6-5f6e871face9,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
928,VAC,SPBXM,BBG001J2R5H3,13262f1b-21ae-42fa-94eb-0d5a7f3fb00e,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
929,PAGS,SPBXM,BBG00JM7QBR6,515ab3f3-0b8d-4b04-8faa-a0fdd8f6eb22,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
930,MRKU,TQBR,BBG000VKG4R5,1b64e38a-49ad-4f4d-a4d3-b34184899352,shares,0.00020000,4,10000,SECURITY_TRADING_STATUS_NORMAL_TRADING,True,rub,moex_extended,True,True,False,2.00000000,2.00000000
931,CLH,SPBXM,BBG000BFRRX8,4da41ecc-8155-49cd-abb3-fba5475d6af1,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
932,HRL,SPBXM,BBG000BLF8D2,593c33fb-7bed-486a-9353-7e075b7969c2,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
933,FAST,SPBXM,BBG000BJ8YN7,945eae5e-5a91-4cc7-847a-b1c7f48e6764,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
934,OABI,SPBXM,BBG011J3QM39,ea0d750b-618c-4055-93c1-8f004813bb8b,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
935,SJM,SPBXM,BBG000BT1715,ff015b04-3306-41dd-a215-58ca3ad18785,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
936,IRTC,SPBXM,BBG001J19V24,859c1f7d-9e9c-43db-9897-c8ab90acdb1e,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
937,SKX,SPBXM,BBG000C4HKK2,c8a0a5a5-ac5a-44bd-b552-39dbbf51d4d1,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
938,HCA,SPBXM,BBG000QW7VC1,0dfa1f99-25d0-463a-a38f-240405e37d35,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
939,OIS,SPBXM,BBG000BDDN94,1f40b2dc-c72b-41fd-b6f8-8096a0626140,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
940,ETN,SPBXM,BBG000BJ3PD2,1c599635-91ba-441b-84db-9d90a9355fef,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
941,PII,SPBXM,BBG000D5S4M0,2a95c6cf-a60d-4509-9f59-a14e43e464ea,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
942,BCC,SPBXM,BBG000RQKCR4,0b9cc47d-78e8-4dc2-b46e-581f8e4f8936,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
943,APP,SPBXM,BBG006HFPX77,27463077-1391-41ca-9f67-65fe975f096b,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
944,WPC,SPBXM,BBG000BCQM58,4dea0a7b-2ba0-4929-b5cc-9e22df091ec5,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
945,NEOG,SPBXM,BBG000C1BCK2,20b3b78f-c8b9-46a8-b2a2-216b9b452375,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
946,PFE,SPBXM,BBG000BR2B91,83140036-4e5c-4097-8ef3-fa65d036655b,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
947,TREX,SPBXM,BBG000BTGKK9,83067af0-46f8-4e1c-82f0-c1a76ddf0643,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
948,ZLAB,SPBXM,BBG00HFX3N90,6af3177b-42d2-4cdc-b3c4-dfc2e89ce035,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
949,MTH,SPBXM,BBG000F4F1N0,f285be28-19e9-4cf7-84e5-70364c74d153,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
950,DORM,SPBXM,BBG000BM22F5,8b84da1d-3f04-464d-8847-0339658d1fe4,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
951,CHH,SPBXM,BBG000BPBTL2,8d8a90dc-3610-40a9-abe1-190dc86d38e0,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
952,MNST,SPBXM,BBG008NVB1C0,6d10cc83-be0b-4728-aaf7-9b2288c9505f,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
